rider_id,name,mobile,aadhaar,city,zone,store_id,date,deliveries,earnings_inr,hours_worked,disruption_type,disruption_hours_lost,platform_rating
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-10-01,20,1500,9,none,0,4.5
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-10-05,24,1800,11,none,0,4.5
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-10-10,10,750,5,heavy_rain,5,4.5
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-10-15,22,1650,10,none,0,4.6
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-10-20,0,0,0,flooding,10,4.6
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-10-25,18,1350,9,none,0,4.6
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-11-01,25,1875,11,none,0,4.6
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-11-10,21,1575,10,none,0,4.6
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-11-15,0,0,0,extreme_heat,10,4.6
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-11-20,19,1425,9,none,0,4.7
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-12-01,23,1725,10,none,0,4.7
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-12-10,26,1950,12,none,0,4.7
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2025-12-20,0,0,0,poor_aqi,10,4.7
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2026-01-01,22,1650,10,none,0,4.7
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2026-01-10,20,1500,9,none,0,4.8
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2026-01-20,0,0,0,heavy_rain,10,4.8
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2026-02-01,24,1800,11,none,0,4.8
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2026-02-15,21,1575,10,none,0,4.8
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2026-03-01,23,1725,10,none,0,4.8
ZPT-R001,Palash Rai,8960247508,654321885566,Mumbai,Powai,ZPT-POW-01,2026-03-15,19,1425,9,none,0,4.9
