rider_id,name,mobile,aadhaar,city,zone,store_id,date,deliveries,earnings_inr,hours_worked,disruption_type,disruption_hours_lost,platform_rating
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-01,18,1260,9,none,0,4.6
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-02,22,1540,10,none,0,4.6
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-03,14,980,7,heavy_rain,3,4.6
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-04,0,0,0,flooding,10,4.6
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-05,20,1400,9,none,0,4.6
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-06,24,1680,11,none,0,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-07,16,1120,8,none,0,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-15,0,0,0,heavy_rain,10,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-16,0,0,0,flooding,10,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-10-20,8,560,4,extreme_heat,5,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-11-01,21,1470,10,none,0,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-11-05,19,1330,9,none,0,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-11-10,0,0,0,bandh,10,4.7
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-11-15,23,1610,10,none,0,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-11-20,17,1190,8,none,0,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-12-01,20,1400,9,none,0,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-12-10,25,1750,11,none,0,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-12-15,0,0,0,poor_aqi,10,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-12-20,22,1540,10,none,0,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2025-12-25,18,1260,9,none,0,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-01-05,21,1470,10,none,0,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-01-12,0,0,0,heavy_rain,10,4.8
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-01-20,19,1330,9,none,0,4.9
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-02-01,23,1610,10,none,0,4.9
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-02-10,20,1400,9,none,0,4.9
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-02-15,0,0,0,extreme_heat,10,4.9
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-02-20,24,1680,11,none,0,4.9
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-03-01,22,1540,10,none,0,4.9
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-03-10,26,1820,12,none,0,4.9
BLK-R001,Usham Roy,7001989183,876543217744,Kolkata,Salt Lake,BLK-SLK-01,2026-03-15,15,1050,7,heavy_rain,3,4.9
